location,continent,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Macao,,2021-03-22,37707.0,,,1125.0,5.81,,,1733.0
Macao,,2021-03-23,39257.0,,,1192.0,6.05,,,1836.0
Macao,,2021-03-24,40701.0,,,1262.0,6.27,,,1944.0
Macao,,2021-03-25,41948.0,,,1301.0,6.46,,,2004.0
Macao,,2021-03-26,43211.0,,,1326.0,6.65,,,2042.0
Macao,,2021-03-27,44908.0,,,1377.0,6.92,,,2121.0
Macao,,2021-03-28,46286.0,,,1404.0,7.13,,,2162.0
Macao,,2021-03-29,47483.0,,,1397.0,7.31,,,2151.0
Macao,,2021-03-30,49308.0,,,1436.0,7.59,,,2211.0
Macao,,2021-03-31,51017.0,,,1474.0,7.86,,,2270.0
Macao,,2021-04-01,52772.0,,,1546.0,8.13,,,2381.0
Macao,,2021-04-02,53626.0,,,1488.0,8.26,,,2292.0
Macao,,2021-04-03,54704.0,,,1399.0,8.42,,,2154.0
Macao,,2021-04-04,55951.0,,,1381.0,8.62,,,2127.0
Macao,,2021-04-05,56530.0,,,1292.0,8.71,,,1990.0
Macao,,2021-04-06,57251.0,,,1135.0,8.82,,,1748.0
Macao,,2021-04-07,58676.0,41117.0,17559.0,1094.0,9.04,6.33,2.7,1685.0
Macao,,2021-04-08,60778.0,41914.0,18864.0,1144.0,9.36,6.45,2.91,1762.0
Macao,,2021-04-09,62893.0,42802.0,20091.0,1324.0,9.69,6.59,3.09,2039.0
Macao,,2021-04-10,65514.0,43967.0,21547.0,1544.0,10.09,6.77,3.32,2378.0
