location,continent,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Macao,,2021-04-11,67431.0,44838.0,22593.0,1640.0,10.38,6.91,3.48,2526.0
Macao,,2021-04-12,69149.0,45648.0,23501.0,1803.0,10.65,7.03,3.62,2777.0
Macao,,2021-04-13,71196.0,46732.0,24464.0,1992.0,10.96,7.2,3.77,3068.0
Macao,,2021-04-14,73100.0,47812.0,25288.0,2061.0,11.26,7.36,3.89,3174.0
Macao,,2021-04-15,75087.0,48974.0,26113.0,2044.0,11.56,7.54,4.02,3148.0
Macao,,2021-04-16,77236.0,50184.0,27052.0,2049.0,11.89,7.73,4.17,3156.0
Macao,,2021-04-17,79921.0,51612.0,28309.0,2058.0,12.31,7.95,4.36,3169.0
Macao,,2021-04-18,81893.0,52688.0,29205.0,2066.0,12.61,8.11,4.5,3182.0
Macao,,2021-04-19,83257.0,53466.0,29791.0,2015.0,12.82,8.23,4.59,3103.0
Macao,,2021-04-20,85011.0,54622.0,30389.0,1974.0,13.09,8.41,4.68,3040.0
Macao,,2021-04-21,86653.0,55750.0,30903.0,1936.0,13.34,8.59,4.76,2981.0
Macao,,2021-04-22,88292.0,56931.0,31361.0,1886.0,13.6,8.77,4.83,2904.0
Macao,,2021-04-23,90063.0,58186.0,31877.0,1832.0,13.87,8.96,4.91,2821.0
Macao,,2021-04-24,91763.0,59402.0,32361.0,1692.0,14.13,9.15,4.98,2606.0
Macao,,2021-04-25,93688.0,60800.0,32888.0,1685.0,14.43,9.36,5.06,2595.0
